author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ID 107641596,unknown,https://www.cian.ru/sale/flat/299373811/,Москва,sale,flat,12,14,1,38.0,8990000,Лосиноостровский,Изумрудная ,36,Бабушкинская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299469625/,Москва,sale,flat,8,17,1,38.0,10000000,Северное Бутово, Грина,9,Бульвар Дмитрия Донского,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299722483/,Москва,sale,flat,6,13,1,26.8,10300000,Таганский,Волгоградский проспект,1С1,Пролетарская,
RED,real_estate_agent,https://www.cian.ru/sale/flat/301734792/,Москва,sale,flat,9,22,1,30.3,7900000,, Родниковая,30к3,Саларьево,Румянцево-Парк
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295294075/,Москва,sale,flat,6,12,1,35.2,10500000,Преображенское,2-я Пугачевская ,9К1,Преображенская площадь,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297902239/,Москва,sale,flat,13,16,1,37.5,10300000,Бибирево,Белозерская ,17,Бибирево,
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301389273/,Москва,sale,flat,3,9,1,31.5,12200000,Очаково-Матвеевское,Нежинская ,13,Матвеевская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300725362/,Москва,sale,flat,8,9,1,35.0,10490000,Северное Тушино, Вилиса Лациса,11К3,Планерная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298065569/,Москва,sale,flat,8,12,1,34.9,9000000,Дмитровский,Клязьминская ,4,Грачёвская,
ID 103991409,homeowner,https://www.cian.ru/sale/flat/301791013/,Москва,sale,flat,1,5,1,31.4,9500000,Измайлово,Измайловский бульвар,37,Первомайская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294451528/,Москва,sale,flat,9,17,1,38.0,10500000,Южное Бутово,Веневская ,9,Улица Скобелевская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294038293/,Москва,sale,flat,11,24,1,43.5,14100000,Нижегородский, Нижняя Хохловка,8,Нижегородская,
Евгений Сыстеров,realtor,https://www.cian.ru/sale/flat/297532641/,Москва,sale,flat,5,5,1,30.0,9000000,Кунцево,Бобруйская ,18К3,Молодёжная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297727983/,Москва,sale,flat,25,25,1,46.3,15500000,Левобережный,Валдайский проезд,10к1,Беломорская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299776431/,Москва,sale,flat,12,12,1,38.7,9200000,Орехово-Борисово Южное,Домодедовская ,38К2,Домодедовская,
ID 12878180,homeowner,https://www.cian.ru/sale/flat/301439558/,Москва,sale,flat,14,19,1,45.7,18300000,Войковский,5-й Войковский проезд,16к2,Войковская,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301181308/,Москва,sale,flat,2,2,1,31.4,9800000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,14999000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300583980/,Москва,sale,flat,3,16,1,31.2,9850000,,проспект Магеллана,1,Прокшино,Испанские кварталы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299635004/,Москва,sale,flat,16,17,1,37.8,8700000,, Солнечная,15,Рассказовка,Град Московский
Антон Белов,realtor,https://www.cian.ru/sale/flat/297215041/,Москва,sale,flat,13,14,1,38.7,17990000,Таганский,переулок Ковров,1,Москва-Товарная,
Илья Сетков,realtor,https://www.cian.ru/sale/flat/301178903/,Москва,sale,flat,4,9,1,31.8,10700000,Хорошево-Мневники,Карамышевская набережная,2/1,Народное Ополчение,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301129606/,Москва,sale,flat,1,5,1,17.9,9600000,Соколиная гора,проспект Буденного,24К3,Сортировочная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298520114/,Москва,sale,flat,9,12,1,39.0,9380000,Марьино,Донецкая ,19,Курьяново,
Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/301821529/,Москва,sale,flat,14,14,1,40.0,13000000,Южнопортовый,Шарикоподшипниковская ,16,Дубровка,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300967755/,Москва,sale,flat,2,2,1,28.7,9500000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294258749/,Москва,sale,flat,12,17,1,37.9,12000000,Братеево,Братеевская ,21,Борисово,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300833206/,Москва,sale,flat,1,12,1,34.1,10900000,Черемушки, Обручева,39,Калужская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300889564/,Москва,sale,flat,12,16,1,40.6,18800000,Можайский, Вересаева,10,Давыдково,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300071808/,Москва,sale,flat,4,5,1,51.4,11800000,Рязанский, Михайлова,22К1,Плющево,
Квартал-М,real_estate_agent,https://www.cian.ru/sale/flat/301847857/,Москва,sale,flat,8,25,1,40.0,13000000,, Саларьевская,16к3,Саларьево,Саларьево парк
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299942586/,Москва,sale,flat,18,21,1,42.0,15500000,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
Андрей Иванов,realtor,https://www.cian.ru/sale/flat/299174112/,Москва,sale,flat,22,33,1,34.4,18500000,Хорошево-Мневники,Причальный проезд,10Б,Шелепиха,Level Причальный
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301680909/,Москва,sale,flat,8,9,1,31.0,11490000,Ясенево,Литовский бульвар,3К2,Ясенево,
ID 104795526,real_estate_agent,https://www.cian.ru/sale/flat/297486676/,Москва,sale,flat,2,9,1,41.4,24391000,Хамовники,Комсомольский проспект,23/7,Фрунзенская,
Виктория Цибина,realtor,https://www.cian.ru/sale/flat/299744002/,Москва,sale,flat,4,5,1,30.3,23000000,Хамовники, Усачева,38,Спортивная,
Людмила Геберт,realtor,https://www.cian.ru/sale/flat/301869049/,Москва,sale,flat,2,4,1,39.5,10600000,Ярославский,Ярославское шоссе,107,ВДНХ,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301508047/,Москва,sale,flat,15,17,1,38.0,11800000,Вешняки,аллея Жемчуговой,5К3,Новогиреево,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298159475/,Москва,sale,flat,3,32,1,35.0,19000000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
Диана Тухбатуллина,realtor,https://www.cian.ru/sale/flat/300400527/,Москва,sale,flat,3,5,1,31.0,8490000,, Харлампиева,30к1,Филатов Луг,Спортивный квартал
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301601248/,Москва,sale,flat,16,39,1,47.6,25000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
BERI,real_estate_agent,https://www.cian.ru/sale/flat/297062106/,Москва,sale,flat,2,9,1,34.1,20990000,Красносельский,переулок Даев,12/16,Сухаревская,
Jcat,real_estate_agent,https://www.cian.ru/sale/flat/301215878/,Москва,sale,flat,8,9,1,35.0,8300000,Гольяново,Хабаровская ,1,Щёлковская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301248744/,Москва,sale,flat,21,21,1,45.7,16500000,Нагатинский затон,Нагатинская набережная,46,Коломенская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300099173/,Москва,sale,flat,3,15,1,37.5,30000000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300962482/,Москва,sale,flat,5,14,1,33.0,11999000,Алексеевский,Маломосковская ,3К2,ВДНХ,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301504109/,Москва,sale,flat,9,9,1,41.0,12900000,, Инженера Кнорре,7к3,Румянцево,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/301775124/,Москва,sale,flat,8,41,1,41.0,34000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301063006/,Москва,sale,flat,10,16,1,39.0,9100000,Ярославский,Ярославское шоссе,57,ВДНХ,
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299499349/,Москва,sale,flat,5,21,1,48.4,22800000,Щукино,Щукинская ,3,Щукинская,Интонация
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/301970961/,Москва,sale,flat,7,7,1,43.0,16000000,Таганский,Нижегородская ,32С3,Калитники,Loft FM
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300501002/,Москва,sale,flat,3,12,1,35.0,10000000,Западное Дегунино, Ивана Сусанина,4К1,Моссельмаш,
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926126/,Москва,sale,flat,4,9,1,26.8,6182125,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/296746930/,Москва,sale,flat,1,9,1,34.9,6854250,Люблино, Верхние Поля,27С2,Братиславская,
Светлана Конинген,realtor,https://www.cian.ru/sale/flat/300505732/,Москва,sale,flat,5,12,1,33.2,11800000,Нагорный,Артековская ,4К1,Варшавская,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297368415/,Москва,sale,flat,30,32,1,43.8,16950000,Бутырский, Руставели,14,Бутырская,Руставели 14
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300564827/,Москва,sale,flat,13,16,1,35.4,12000000,Донской,Загородное шоссе,3К3,Крымская,
ID 16590901,homeowner,https://www.cian.ru/sale/flat/301668357/,Москва,sale,flat,8,22,1,41.0,12400000,Южное Медведково, Молодцова,15К2,Медведково,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301122759/,Москва,sale,flat,5,17,1,40.0,8300000,, Барышевская Роща,24,Щербинка,Прима-Парк
Реалист,real_estate_agent,https://www.cian.ru/sale/flat/299923856/,Москва,sale,flat,9,14,1,42.7,10500000,, 1-я Ватутинская,12к2,Коммунарка,Russian Design District
Денис Каргин,realtor,https://www.cian.ru/sale/flat/301549280/,Москва,sale,flat,4,5,1,20.0,4999999,Марфино,Гостиничная ,5,Окружная,
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/300833245/,Москва,sale,flat,1,16,1,43.9,14500000,Ховрино, Лавочкина,42,Речной вокзал,
Екатерина Минибаева,realtor,https://www.cian.ru/sale/flat/301601707/,Москва,sale,flat,13,13,1,37.8,11500000,Косино-Ухтомский,Каскадная ,20Ак1,Улица Дмитриевского,
